Instituição;Instituição - Agregado;R;Total;R;Total Seleção;R;Humalog;R;Fiasp;R;Apidra;R;NovoRapid;R;Humalog 200;R;Humalog Jun;R;Lyumjev KwikPen;R;Lyumjev Junior KwikPen;R;Lyumjev
Total;;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%;;100,0%
Hosp do Espírito Santo, EPE - Évora;Hosp Espírito Santo, EPE - Évora;1;22,2%;1;22,2%;1;10,3%;1;28,1%;1;38,1%;2;10,4%;2;14,1%;1;13,0%;1;53,8%;1;52,9%;4;16,4%
CS Santiago do Cacém - (Outros);CS Santiago do Cacém;2;5,5%;2;5,5%;2;5,7%;3;5,6%;4;3,4%;1;11,1%;6;5,5%;3;9,1%;32;0,0%;32;0,0%;32;0,0%
Hosp Litoral Alentejano - Santiago do Cacém;Hosp Litoral Alentejano - Santiago do Cacém;3;5,2%;3;5,2%;6;3,0%;16;1,5%;2;7,3%;3;5,6%;1;17,6%;32;0,0%;10;0,9%;32;0,0%;32;0,0%
Outros (Private);Outros (Private);4;4,6%;4;4,6%;3;5,7%;7;3,2%;3;3,4%;9;4,0%;10;3,0%;1;13,0%;2;12,0%;3;11,8%;2;21,8%
Hosp Santa Luzia - Elvas;ULS do Norte Alentejano, EPE;5;3,6%;5;3,6%;13;2,3%;2;14,4%;16;1,4%;31;0,7%;8;5,0%;7;6,5%;2;12,0%;4;5,9%;32;0,0%
CS Montijo - (Outros);CS Montijo;6;2,6%;6;2,6%;9;2,4%;9;2,5%;5;2,5%;5;5,3%;32;0,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Plátano - CS Portalegre;CS Portalegre;7;2,4%;7;2,4%;7;3,0%;10;2,4%;6;2,4%;39;0,4%;10;3,0%;32;0,0%;32;0,0%;32;0,0%;32;0,0%
USF Alcaides - CS Montemor-o-Novo;CS Montemor-o-Novo;8;2,3%;8;2,3%;13;2,3%;19;1,2%;35;0,7%;11;3,5%;3;11,6%;5;7,8%;32;0,0%;32;0,0%;32;0,0%
USF Amoreira - CS Elvas;CS Elvas;9;2,3%;9;2,3%;9;2,4%;4;5,2%;11;1,5%;20;1,6%;32;0,0%;14;1,3%;5;3,4%;2;29,4%;32;0,0%
CS Alcácer do Sal - (Outros);CS Alcácer do Sal;10;2,3%;10;2,3%;12;2,4%;40;0,1%;7;2,0%;4;5,4%;20;0,5%;3;9,1%;32;0,0%;32;0,0%;32;0,0%
